SalePrice,Lot.Area,Overall.Qual,Overall.Cond,Year.Built,X1st.Flr.SF,X2nd.Flr.SF,Full.Bath,Half.Bath,Bedroom.AbvGr,TotRms.AbvGrd,Mo.Sold,Yr.Sold
215000,31770,6,5,1960,1656,0,1,0,3,7,5,2010
105000,11622,5,6,1961,896,0,1,0,2,5,6,2010
172000,14267,6,6,1958,1329,0,1,1,3,6,6,2010
244000,11160,7,5,1968,2110,0,2,1,3,8,4,2010
189900,13830,5,5,1997,928,701,2,1,3,6,3,2010
195500,9978,6,6,1998,926,678,2,1,3,7,6,2010
213500,4920,8,5,2001,1338,0,2,0,2,6,4,2010
191500,5005,8,5,1992,1280,0,2,0,2,5,1,2010
236500,5389,8,5,1995,1616,0,2,0,2,5,3,2010
189000,7500,7,5,1999,1028,776,2,1,3,7,6,2010
175900,10000,6,5,1993,763,892,2,1,3,7,4,2010
185000,7980,6,7,1992,1187,0,2,0,3,6,3,2010
180400,8402,6,5,1998,789,676,2,1,3,7,5,2010
171500,10176,7,5,1990,1341,0,1,1,2,5,2,2010
212000,6820,8,5,1985,1502,0,1,1,1,4,6,2010
538000,53504,8,5,2003,1690,1589,3,1,4,12,6,2010
164000,12134,8,7,1988,1080,672,2,0,4,8,6,2010
394432,11394,9,2,2010,1856,0,1,1,1,8,6,2010
141000,19138,4,5,1951,864,0,1,0,2,4,6,2010
210000,13175,6,6,1978,2073,0,2,0,3,7,2,2010
190000,11751,6,6,1977,1844,0,2,0,3,7,1,2010
170000,10625,7,6,1974,1173,0,2,0,3,6,1,2010
216000,7500,7,5,2000,814,860,2,1,3,7,1,2010
149000,11241,6,7,1970,1004,0,1,0,2,5,3,2010
149900,12537,5,6,1971,1078,0,1,1,3,6,4,2010
142000,8450,5,6,1968,1056,0,1,0,3,6,7,2010
126000,8400,4,5,1970,882,0,1,0,2,4,4,2010
115000,10500,4,5,1971,864,0,1,0,3,5,4,2010
184000,5858,7,5,1999,1337,0,2,0,2,5,6,2010
96000,1680,6,5,1971,483,504,1,1,2,5,2,2010
105500,1680,5,5,1971,525,567,1,1,3,6,3,2010
88000,1680,6,5,1971,525,567,1,1,3,6,3,2010
127500,4043,6,5,1977,1069,0,2,0,2,4,7,2010
149900,2280,6,6,1975,855,601,2,1,3,6,6,2010
120000,2280,7,6,1975,836,0,1,0,2,4,6,2010
146000,2280,6,5,1978,855,601,2,1,3,7,7,2010
376162,12858,9,5,2009,1627,707,2,1,3,10,1,2010
306000,11478,8,5,2007,1704,0,2,0,3,7,5,2010
395192,10159,9,5,2009,1940,0,2,1,3,8,4,2010
290941,12883,8,5,2009,1544,0,2,0,3,7,6,2010
220000,12182,7,5,2005,1541,0,2,0,3,7,5,2010
275000,11520,9,5,2005,1698,0,2,0,3,7,6,2010
259000,14122,8,5,2005,1822,0,2,0,3,8,2,2010
214000,10171,7,5,2004,1535,0,2,0,3,7,3,2010
611657,12919,9,5,2009,2364,0,2,1,2,11,3,2010
224000,6371,7,5,2009,1358,0,2,0,2,6,6,2010
500000,14300,9,5,2003,2696,0,2,1,3,10,6,2010
320000,13650,8,5,2002,1687,563,2,1,3,7,6,2010
319900,7658,9,5,2005,1752,0,2,0,2,6,2,2010
205000,7132,8,5,2006,1370,0,2,0,2,6,4,2010
175500,2628,7,5,2003,764,862,2,1,2,6,6,2010
199500,18494,6,5,2005,1324,0,2,0,3,6,1,2010
160000,3203,7,5,2006,1145,0,2,0,2,6,1,2010
192000,3182,8,5,2004,1269,0,2,0,2,6,4,2010
184500,13300,7,5,2004,744,630,2,1,3,7,6,2010
216500,7851,6,5,2002,860,1100,2,1,4,8,5,2010
185088,8577,7,5,2004,847,886,2,1,3,7,4,2010
180000,7750,7,5,2000,774,656,2,1,3,7,4,2010
222500,9505,7,5,2001,884,1151,2,1,3,8,5,2010
333168,14774,9,5,1999,1422,1177,2,1,4,10,5,2010
355000,17433,8,5,1998,1645,830,2,1,4,7,1,2010
260400,10593,7,5,1996,1720,0,2,0,3,7,3,2010
325000,12256,8,5,1994,1500,1122,2,1,3,9,4,2010
290000,11764,8,7,1999,1164,1106,2,1,4,9,4,2010
221000,16770,7,5,1998,1195,644,2,1,4,7,6,2010
410000,14720,8,5,1995,2053,1185,2,1,4,9,3,2010
221500,8987,8,5,2005,1595,0,2,0,2,6,5,2010
