HH_ID,PP_ID,PR,AGEGRP,BEDRM,ROOM,VALUE,CITIZEN,GENDER,TOTINC,RELIG,MARSTH
1,11101,35,11,1,3,99999999,1,1,12000,3,4
2,21101,24,11,3,4,230000,1,2,61000,2,3
2,21102,24,11,3,4,230000,1,1,37000,2,3
3,31101,59,11,3,10,1210000,1,2,34000,3,3
3,31102,59,11,3,10,1210000,1,1,63000,9,3
4,41103,35,11,4,9,1500000,2,1,34000,88,1
4,41201,35,8,4,9,1500000,2,1,97000,88,2
4,41202,35,9,4,9,1500000,1,2,99999999,88,2
4,41204,35,1,4,9,1500000,1,1,99999999,88,1
4,41205,35,1,4,9,1500000,1,2,99999999,88,1
5,51101,24,4,1,2,99999999,1,2,14000,9,1
6,61101,35,11,3,5,1000000,2,2,3000,4,2
6,61102,35,10,3,5,1000000,2,1,8000,4,2
6,61103,35,5,3,5,1000000,1,1,69000,4,1
6,61104,35,2,3,5,1000000,1,2,99999999,4,1
7,71101,24,7,2,6,310000,1,1,110000,9,3
7,71102,24,8,2,6,310000,1,2,91000,9,3
8,81101,24,9,3,8,330000,1,2,65000,9,3
8,81102,24,9,3,8,330000,1,1,90000,9,3
8,81103,24,3,3,8,330000,1,1,13000,9,1
8,81104,24,3,3,8,330000,1,1,4000,9,1
9,91101,13,12,4,8,518346,1,1,44000,9,2
9,91102,13,12,4,8,518346,1,2,180000,9,2
9,91103,13,6,4,8,518346,1,2,10000,9,2
10,101101,35,7,2,7,270000,1,1,62000,9,3
10,101102,35,5,2,7,270000,1,1,99000,9,3
11,111101,59,5,1,3,99999999,1,2,68000,9,1
12,121101,24,8,4,6,99999999,1,1,84000,2,1
12,121102,24,2,4,6,99999999,1,1,99999999,2,1
12,121103,24,3,4,6,99999999,1,1,17000,2,1
12,121104,24,3,4,6,99999999,1,1,17000,2,1
12,121105,24,2,4,6,99999999,1,2,99999999,2,1
13,131101,35,6,3,6,99999999,1,2,63000,6,2
13,131102,35,5,3,6,99999999,1,1,41000,6,2
13,131103,35,1,3,6,99999999,1,1,99999999,6,1
13,131104,35,1,3,6,99999999,1,1,99999999,6,1
14,141101,35,10,5,9,700000,1,1,90000,2,2
14,141102,35,11,5,9,700000,1,2,110000,2,2
15,151101,35,5,3,8,100000,1,2,5000,3,2
15,151102,35,5,3,8,100000,1,1,4000,3,2
15,151103,35,1,3,8,100000,1,1,99999999,3,1
15,151104,35,1,3,8,100000,1,1,99999999,3,1
15,151105,35,1,3,8,100000,1,1,99999999,3,1
16,161101,48,12,5,11,1239952,1,2,110000,2,2
16,161102,48,12,5,11,1239952,1,1,34000,2,2
17,171101,13,11,1,3,99999999,3,2,9000,2,1
18,181101,35,9,2,4,99999999,1,1,64000,9,1
18,181102,35,2,2,4,99999999,1,1,99999999,9,1
18,181103,35,1,2,4,99999999,1,2,99999999,9,1
19,191101,47,4,3,5,99999999,1,2,67000,9,1
19,191102,47,9,3,5,99999999,1,2,15000,9,2
19,191103,47,10,3,5,99999999,1,1,38000,9,2
20,201101,35,10,2,5,99999999,2,1,110000,3,4
20,201102,35,2,2,5,99999999,1,2,99999999,3,1
21,211101,48,7,2,4,99999999,1,2,80000,9,2
21,211102,48,6,2,4,99999999,1,1,50000,9,2
22,221101,35,10,0,1,99999999,3,2,50000,9,4
23,231104,35,88,3,4,99999999,3,8,21000,9,8
23,232201,35,88,3,4,99999999,2,8,31000,9,8
23,232202,35,88,3,4,99999999,3,8,5000,9,8
23,232203,35,88,3,4,99999999,3,8,20000,9,8
24,241101,35,12,3,5,1210000,2,2,53000,4,2
24,241102,35,11,3,5,1210000,2,1,18000,4,2
24,241103,35,7,3,5,1210000,2,2,22000,4,1
25,251101,48,13,2,5,290000,1,1,41000,3,4
26,261101,12,11,2,7,99999999,2,1,5000,3,2
26,261102,12,12,2,7,99999999,1,2,50000,3,2
27,271101,59,13,4,6,2010000,2,2,64000,2,2
27,271102,59,12,4,6,2010000,1,1,15000,2,2
28,281101,24,13,3,6,500000,2,2,99000,2,3
28,281102,24,12,3,6,500000,2,1,33000,2,3
29,291103,35,5,2,3,99999999,8,2,29000,88,8
29,291104,35,7,2,3,99999999,8,2,99999999,88,8
29,292101,35,4,2,3,99999999,8,2,17000,88,8
29,292102,35,5,2,3,99999999,8,2,47000,88,8
30,301101,24,6,1,3,99999999,3,2,37000,9,4
31,311101,35,9,3,6,900000,1,1,57000,3,4
31,311102,35,3,3,6,900000,1,1,13000,3,1
31,311103,35,2,3,6,900000,1,1,99999999,3,1
32,321101,35,11,1,5,530000,1,2,43000,2,4
33,331101,24,12,1,3,99999999,1,2,21000,2,1
34,341101,47,6,3,7,99999999,1,1,77000,9,1
34,341102,47,3,3,7,99999999,1,2,99999999,9,1
34,341103,47,1,3,7,99999999,1,2,99999999,9,1
35,351101,35,13,2,5,400000,2,1,44000,2,4
36,361101,10,12,3,7,566503,1,1,38000,3,2
36,361102,10,13,3,7,566503,1,2,130000,3,2
37,371101,48,6,5,9,530000,1,1,99999999,9,3
37,371102,48,7,5,9,530000,2,2,250000,9,3
37,371103,48,1,5,9,530000,1,1,99999999,9,1
37,371104,48,1,5,9,530000,1,1,99999999,9,1
38,381101,35,9,3,5,99999999,1,2,55000,2,4
39,391101,35,11,1,3,99999999,2,2,12000,9,1
40,401101,35,12,4,7,850000,1,1,38000,3,4
41,411101,70,11,5,9,660000,1,1,73000,3,2
41,411102,70,11,5,9,660000,1,2,64000,3,2
42,421101,35,13,1,3,99999999,2,1,24000,2,4
43,431101,59,12,2,4,310000,1,1,35000,3,4
44,441101,35,12,3,6,400000,1,2,40000,3,2
44,441102,35,12,3,6,400000,1,1,33000,3,2
45,451101,13,12,4,8,210000,1,1,55000,3,4
46,461104,48,11,3,4,500000,2,1,82000,2,4
46,461201,48,5,3,4,500000,2,2,35000,2,2
46,461202,48,5,3,4,500000,2,1,57000,2,2
46,461203,48,1,3,4,500000,1,1,99999999,2,1
47,471101,35,13,1,2,99999999,1,2,87000,3,2
48,481101,35,5,1,2,99999999,3,1,99999999,9,1
49,491101,59,13,3,9,900000,1,1,87000,3,4
50,501101,24,13,1,4,99999999,1,1,26000,2,4
50,501102,24,11,1,4,99999999,1,2,11000,2,1
51,511105,35,11,4,6,860000,2,1,24000,9,2
51,511201,35,9,4,6,860000,2,2,18000,3,2
