Year,Month,Day,DOW,Hour,Trip Seconds,Trip Miles,Fare,Tips,Extras,Trip Total,Payment Type,Company
2024,2,22,5,15,532,1.37,7.25,0,1,8.25,Cash,Sun Taxi
2024,2,22,5,7,530,1.23,10,0.68,0,10.68,Mobile,Sun Taxi
2024,2,8,5,15,960,3.6,12.75,3,0,15.75,Credit Card,Taxi Affiliation Services
2024,2,2,6,21,227,0.42,4.75,4,0,9.25,Credit Card,City Service
2024,2,24,7,9,1473,18.47,45.5,9.2,0,57.7,Credit Card,Taxicab Insurance Agency Llc
2024,2,21,4,17,2386,10.94,33,0,0,33,Prcard,Flash Cab
2024,2,26,2,9,680,1.78,9,3,1,13.5,Credit Card,Taxicab Insurance Agency Llc
2024,2,28,4,17,429,1.21,10,2.72,0,12.72,Mobile,City Service
2024,2,14,4,15,221,0.39,4.75,0,0,5.25,Credit Card,Sun Taxi
2024,2,26,2,8,2525,15.47,40,8.9,4,53.4,Credit Card,Taxicab Insurance Agency Llc
2024,2,25,1,7,871,0.36,8,0,0,8,Cash,Taxicab Insurance Agency Llc
2024,2,6,3,10,624,1.9,9,3,1,13.5,Credit Card,Flash Cab
2024,2,9,6,12,201,0.29,4.5,0,0,4.5,Cash,Sun Taxi
2024,2,21,4,10,1740,12.1,32.25,7.35,4,43.6,Credit Card,Taxi Affiliation Services
2024,2,21,4,10,600,1.8,8.5,2.1,1.5,12.1,Credit Card,Taxi Affiliation Services
2024,2,19,2,18,377,1.22,6.5,4,1,12,Credit Card,Taxicab Insurance Agency Llc
2024,2,15,5,7,431,1.04,6.75,3,0,10.25,Credit Card,Sun Taxi
2024,2,6,3,17,21,0.01,3.25,0,0,3.25,Cash,Taxicab Insurance Agency Llc
2024,2,10,7,17,852,1.96,9.75,0,0,12.25,Cash,Sun Taxi
2024,2,8,5,9,2068,17.73,44,9.7,4,58.2,Credit Card,Sun Taxi
2024,2,21,4,16,4042,18.4,47.25,12.94,4,64.69,Credit Card,Flash Cab
2024,2,17,7,11,352,0.75,5.75,3,0,9.25,Credit Card,Sun Taxi
2024,2,14,4,16,2664,17.7,44.5,9.8,4,58.8,Credit Card,Sun Taxi
2024,2,28,4,20,180,0.4,4.5,2,0,6.5,Credit Card,Taxi Affiliation Services
2024,2,4,1,13,2095,18.58,46.25,10.15,4,60.9,Credit Card,City Service
2024,2,1,5,13,1548,17.22,42.5,10.75,0,53.75,Credit Card,Sun Taxi
2024,2,15,5,21,174,0.62,10,1.9,0,11.9,Mobile,Taxicab Insurance Agency Llc
2024,2,16,6,13,304,0.93,5.75,0,0,5.75,Cash,City Service
2024,2,25,1,20,1849,17.18,43,11,11.5,66,Mobile,Flash Cab
2024,2,25,1,12,362,0.95,6,0,0,6,Cash,Sun Taxi
2024,2,9,6,14,223,0.47,4.75,0,0,4.75,Cash,City Service
2024,2,27,3,9,1908,11.42,45,11.38,0,56.88,Credit Card,Taxicab Insurance Agency Llc
2024,2,17,7,19,1047,2.69,10.22,2.58,0,12.8,Mobile,Sun Taxi
2024,2,28,4,13,464,1.21,7.25,3,0,10.75,Credit Card,City Service
2024,2,9,6,7,573,1.91,8.75,0,0,8.75,Cash,Sun Taxi
2024,2,23,6,17,32,0.04,3.25,0,0,3.25,Cash,City Service
2024,2,26,2,18,300,0.5,5.25,0,0,5.25,Cash,Taxi Affiliation Services
2024,2,1,5,7,600,0.1,9.25,2,0,11.25,Credit Card,Taxi Affiliation Services
2024,2,28,4,11,1620,16.8,41.5,0,4,45.5,Cash,Taxi Affiliation Services
2024,2,16,6,15,480,1.7,7.5,3,0,10.5,Credit Card,Taxi Affiliation Services
2024,2,23,6,18,680,2.4,9.75,3,0,13.25,Credit Card,Flash Cab
2024,2,22,5,13,2053,19.23,47.75,13.06,4,65.31,Credit Card,Taxicab Insurance Agency Llc
2024,2,9,6,16,628,2.44,9.5,2,0,12,Credit Card,Sun Taxi
2024,2,23,6,6,298,0.96,5.75,0.62,0,6.87,Mobile,Taxicab Insurance Agency Llc
2024,2,14,4,18,688,3.31,11.75,2.45,0,14.7,Mobile,City Service
2024,2,11,1,20,180,0.3,4.75,0,0,4.75,Cash,Taxi Affiliation Services
2024,2,25,1,12,600,3.8,12.5,0,0,12.5,Cash,Taxi Affiliation Services
2024,2,23,6,20,660,1,7.25,2,0,9.25,Credit Card,Taxi Affiliation Services
2024,2,24,7,22,500,0.89,6.5,2,1,10,Credit Card,Sun Taxi
2024,2,15,5,22,753,2.77,10,2.85,0,12.85,Mobile,Sun Taxi
2024,2,29,5,9,615,1.78,8.75,2,1,12.25,Credit Card,Flash Cab
2024,2,14,4,16,678,2.38,10.2,2.77,1,13.97,Mobile,City Service
2024,2,13,3,8,289,0.66,5.25,0,0,5.25,Cash,Sun Taxi
2024,2,2,6,16,3188,16.2,42.5,9.4,4,56.4,Credit Card,Taxicab Insurance Agency Llc
2024,2,27,3,12,316,1,6,2,0,8.5,Credit Card,City Service
2024,2,14,4,16,3065,18.84,47.5,10.4,4,62.4,Credit Card,Taxicab Insurance Agency Llc
2024,2,6,3,13,244,0.63,5.25,1.09,1.5,8.34,Mobile,Taxicab Insurance Agency Llc
2024,2,29,5,13,385,0.9,6.25,2.02,0,8.77,Credit Card,Sun Taxi
2024,2,27,3,13,1458,16.44,40.25,11.94,7,59.69,Credit Card,Sun Taxi
2024,2,6,3,16,1800,17,41.75,9.25,4,55,Credit Card,Taxi Affiliation Services
2024,2,26,2,12,480,2.8,10,3,0,13,Credit Card,Taxi Affiliation Services
