"County","City","State","Postal Code","Model Year","Make","Model","Electric Vehicle Type","Clean Alternative Fuel Vehicle (CAFV) Eligibility","Electric Range","Base MSRP","Legislative District","DOL Vehicle ID","Vehicle Location","Electric Utility","2020 Census Tract"
"Snohomish","Bothell","WA","98021","2022","TESLA","MODEL X","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","1","208182236","POINT (-122.18384 47.8031)","PUGET SOUND ENERGY INC","53061051922"
"Snohomish","Monroe","WA","98272","2023","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","39","229452996","POINT (-121.98087 47.8526)","PUGET SOUND ENERGY INC","53061052203"
"Yakima","Moxee","WA","98936","2023","TESLA","MODEL S","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","15","236432542","POINT (-120.39197 46.55621)","PACIFICORP","53077001702"
"Thurston","Lacey","WA","98513","2026","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","22","283417648","POINT (-122.81754 46.98876)","PUGET SOUND ENERGY INC","53067011623"
"Kitsap","Bremerton","WA","98311","2022","TESLA","MODEL S","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","23","196425127","POINT (-122.60915 47.62631)","PUGET SOUND ENERGY INC","53035091701"
"Yakima","Yakima","WA","98902","2022","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","14","216932075","POINT (-120.51904 46.59783)","PACIFICORP","53077000500"
"Snohomish","Bothell","WA","98012","2025","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","1","275009675","POINT (-122.21061 47.83448)","PUGET SOUND ENERGY INC","53061052107"
"Snohomish","Bothell","WA","98021","2022","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","1","207328523","POINT (-122.18384 47.8031)","PUGET SOUND ENERGY INC","53061051918"
"Kitsap","Bremerton","WA","98311","2023","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","23","229642976","POINT (-122.60915 47.62631)","PUGET SOUND ENERGY INC","53035091701"
"Thurston","Olympia","WA","98501","2023","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","22","229972319","POINT (-122.89165 47.03954)","PUGET SOUND ENERGY INC","53067010700"
"Snohomish","Lynnwood","WA","98036","2024","TESLA","CYBERTRUCK","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","1","271587809","POINT (-122.29245 47.82557)","PUGET SOUND ENERGY INC","53061051913"
"Whitman","Pullman","WA","99163","2026","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","9","284689765","POINT (-117.18147 46.73015)","AVISTA CORP","53075000400"
"Yakima","Moxee","WA","98936","2022","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","15","211877725","POINT (-120.39197 46.55621)","PACIFICORP","53077001702"
"King","Bellevue","WA","98006","2022","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","41","205664238","POINT (-122.12096 47.55584)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033024704"
"King","Bellevue","WA","98005","2023","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","41","239006820","POINT (-122.1621 47.64441)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033023604"
"King","Seattle","WA","98115","2023","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","46","256047606","POINT (-122.31676 47.68156)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033002400"
"King","Lake Forest Park","WA","98155","2023","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","46","240497869","POINT (-122.3175 47.75781)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033020402"
"King","Kirkland","WA","98034","2024","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","45","279930269","POINT (-122.22901 47.72201)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033021903"
"King","Bellevue","WA","98005","2024","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","0","48","265046449","POINT (-122.1621 47.64441)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033022805"
